"","Isolate_Id","PB2.Segment_Id","PB1.Segment_Id","PA.Segment_Id","HA.Segment_Id","NP.Segment_Id","NA.Segment_Id","MP.Segment_Id","NS.Segment_Id","HE.Segment_Id","P3.Segment_Id","Isolate_Name","Subtype","Lineage","Passage_History","Location","Host","Isolate_Submitter","Submitting_Lab","Submitting_Sample_Id","Authors","Publication","Originating_Lab","Originating_Sample_Id","Collection_Date","Note","Update_Date","Submission_Date","Antigen_Character","Animal_Vaccin_Product","Adamantanes_Resistance_geno","Oseltamivir_Resistance_geno","Zanamivir_Resistance_geno","Peramivir_Resistance_geno","Other_Resistance_geno","Adamantanes_Resistance_pheno","Oseltamivir_Resistance_pheno","Zanamivir_Resistance_pheno","Peramivir_Resistance_pheno","Other_Resistance_pheno","Host_Age","Host_Age_Unit","Host_Gender","Patient_Status","Zip_Code","Outbreak","Pathogen_Test_Info","Is_Vaccinated","Human_Specimen_Source","Animal_Specimen_Source","Animal_Health_Status","Domestic_Status","PMID","PB2.INSDC_Upload","PB1.INSDC_Upload","PA.INSDC_Upload","HA.INSDC_Upload","NP.INSDC_Upload","NA.INSDC_Upload","MP.INSDC_Upload","NS.INSDC_Upload","HE.INSDC_Upload","P3.INSDC_Upload","newloc","classloc"
"1489","EPI_ISL_78013","EPI275971 | A/duck/Guangdong/23/2004","EPI275972 | A/duck/Guangdong/23/2004","EPI275973 | A/duck/Guangdong/23/2004","EPI275974 | A/duck/Guangdong/23/2004","EPI275975 | A/duck/Guangdong/23/2004","EPI275976 | A/duck/Guangdong/23/2004","EPI275977 | A/duck/Guangdong/23/2004","EPI275978 | A/duck/Guangdong/23/2004",NA,NA,"A/duck/Guangdong/23/2004","A / H5N1",NA,"","Asia / China / Guangdong Province","Duck","Initial import","Other Database Import","","Li,Y.; Shi,J.; Zhong,G.; Deng,G.; Tian,G.; Ge,J.; Zeng,X.; Song,J.; Zhao,D.; Liu,L.; Jiang,Y.; Guan,Y.; Bu,Z.; Chen,H.","","","",2004,"",2010.607,2010.325,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"HM172432","HM172387","HM172321","HM172116","HM172230","HM172210","HM172140","HM172300",NA,NA,"Guangdong","PRD"
"1490","EPI_ISL_78012","EPI275963 | A/duck/Anhui/56/2005","EPI275964 | A/duck/Anhui/56/2005","EPI275965 | A/duck/Anhui/56/2005","EPI275966 | A/duck/Anhui/56/2005","EPI275967 | A/duck/Anhui/56/2005","EPI275968 | A/duck/Anhui/56/2005","EPI275969 | A/duck/Anhui/56/2005","EPI275970 | A/duck/Anhui/56/2005",NA,NA,"A/duck/Anhui/56/2005","A / H5N1",NA,"","Asia / China / Anhui Province","Duck","Initial import","Other Database Import","","Li,Y.; Shi,J.; Zhong,G.; Deng,G.; Tian,G.; Ge,J.; Zeng,X.; Song,J.; Zhao,D.; Liu,L.; Jiang,Y.; Guan,Y.; Bu,Z.; Chen,H.","","","",2005,"",2010.607,2010.325,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"HM172441","HM172402","HM172322","HM172107","HM172227","HM172175","HM172152","HM172270",NA,NA,"Anhui","CT"
"1504","EPI_ISL_24610","EPI164274 | A/duck/Yunnan/4873/2006","EPI164275 | A/duck/Yunnan/4873/2006","EPI164276 | A/duck/Yunnan/4873/2006","EPI164277 | A/duck/Yunnan/4873/2006","EPI164278 | A/duck/Yunnan/4873/2006","EPI164279 | A/duck/Yunnan/4873/2006","EPI164280 | A/duck/Yunnan/4873/2006","EPI164281 | A/duck/Yunnan/4873/2006",NA,NA,"A/duck/Yunnan/4873/2006","A / H5N1",NA,"","Asia / China / Yunnan Province","Duck","Unknown user","Other Database Import","","","","","4873",2006,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"CY030878","CY030879","CY030880","CY030881","CY030882","CY030883","CY030884","CY030885",NA,NA,"Yunnan","SW"
"1512","EPI_ISL_15667","EPI136216 | A/duck/Yunnan/4072/2003","EPI136218 | A/duck/Yunnan/4072/2003","EPI136221 | A/duck/Yunnan/4072/2003","EPI136223 | A/duck/Yunnan/4072/2003","EPI136225 | A/duck/Yunnan/4072/2003","EPI136227 | A/duck/Yunnan/4072/2003","EPI136229 | A/duck/Yunnan/4072/2003","EPI136232 | A/duck/Yunnan/4072/2003",NA,NA,"A/duck/Yunnan/4072/2003","A / H5N1",NA,"","Asia / China / Yunnan Province","Duck","Unknown user","Other Database Import","","","","","4072",2003,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"CY029403","CY029404","CY029405","CY028982","CY029406","CY029407","CY029408","CY029409",NA,NA,"Yunnan","SW"
"1513","EPI_ISL_15275","EPI132542 | A/duck/Guangxi/27/2003","EPI132544 | A/duck/Guangxi/27/2003","EPI132547 | A/duck/Guangxi/27/2003","EPI132549 | A/duck/Guangxi/27/2003","EPI132551 | A/duck/Guangxi/27/2003","EPI132553 | A/duck/Guangxi/27/2003","EPI132555 | A/duck/Guangxi/27/2003","EPI132558 | A/duck/Guangxi/27/2003",NA,NA,"A/duck/Guangxi/27/2003","A / H5N1",NA,"","Asia / China / Guangxi Zhuang Autonomous Region","Duck","Unknown user","Other Database Import","","","","","27",2003,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"EU263350","EU263351","EU263352","EU263353","EU263354","EU263355","EU263356","EU263357",NA,NA,"Guangxi","SW"
"1520","EPI_ISL_12656","","","","EPI119143 | A/duck/Hunan/15/2004","","EPI119145 | A/duck/Hunan/15/2004","EPI119147 | A/duck/Hunan/15/2004","",NA,NA,"A/duck/Hunan/15/2004","A / H5N1",NA,"","Asia / China / Hunan Province","Duck","Unknown user","Other Database Import","","","","","15",2004.074,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","EF670479","","EF670480","EF670481","",NA,NA,"Hunan","CT"
"1524","EPI_ISL_4857","EPI26500 | A/wild_duck/Guangdong/314/2004","EPI26487 | A/wild_duck/Guangdong/314/2004","EPI26474 | A/wild_duck/Guangdong/314/2004","EPI26391 | A/wild_duck/Guangdong/314/2004","EPI26439 | A/wild_duck/Guangdong/314/2004","EPI26426 | A/wild_duck/Guangdong/314/2004","EPI26410 | A/wild_duck/Guangdong/314/2004","EPI26458 | A/wild_duck/Guangdong/314/2004",NA,NA,"A/wild duck/Guangdong/314/2004","A / H5N1",NA,"","Asia / China / Guangdong Province","Duck","Unknown user","Other Database Import","","","","","314",2004,"",2013.386,2005.159,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","Wild",NA,"AY950284","AY950277","AY950270","AY950235","AY950256","AY950249","AY950242","AY950263",NA,NA,"Guangdong","PRD"
"1525","EPI_ISL_4662","EPI25752 | A/duck/Shandong/093/2004","EPI25754 | A/duck/Shandong/093/2004","EPI25756 | A/duck/Shandong/093/2004","EPI25732 | A/duck/Shandong/093/2004","EPI25758 | A/duck/Shandong/093/2004","EPI25734 | A/duck/Shandong/093/2004","EPI25760 | A/duck/Shandong/093/2004","EPI25762 | A/duck/Shandong/093/2004",NA,NA,"A/duck/Shandong/093/2004","A / H5N1",NA,"","Asia / China / Shandong Province","Duck","Unknown user","Other Database Import","","","","","93",2004,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AY856861","AY856862","AY856863","AY854190","AY856864","AY854191","AY856865","AY856866",NA,NA,"Shandong","BER"
"1531","EPI_ISL_3898","EPI21374 | A/duck/Guangxi/53/2002","EPI21332 | A/duck/Guangxi/53/2002","EPI21290 | A/duck/Guangxi/53/2002","EPI21072 | A/duck/Guangxi/53/2002","EPI21206 | A/duck/Guangxi/53/2002","EPI21164 | A/duck/Guangxi/53/2002","EPI21120 | A/duck/Guangxi/53/2002","EPI21248 | A/duck/Guangxi/53/2002",NA,NA,"A/duck/Guangxi/53/2002","A / H5N1",NA,"","Asia / China / Guangxi Zhuang Autonomous Region","Duck","Initial import","Other Database Import","","Chen,H.L.; Deng,G.H.; Li,Z.J.; Tian,G.B.; Li,Y.B.; Jiao,P.; Zhang,L.; Liu,Z.; Webster,R.G.; Yu,K.","","","53",2002,"",2010.163,2004.245,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AY585517","AY585496","AY585475","AY585366","AY585433","AY585412","AY585390","AY585454",NA,NA,"Guangxi","SW"
"1532","EPI_ISL_3895","EPI21366 | A/duck/Guangxi/07/1999","EPI21324 | A/duck/Guangxi/07/1999","EPI21282 | A/duck/Guangxi/07/1999","EPI21066 | A/duck/Guangxi/07/1999","EPI21198 | A/duck/Guangxi/07/1999","EPI21156 | A/duck/Guangxi/07/1999","EPI21114 | A/duck/Guangxi/07/1999","EPI21240 | A/duck/Guangxi/07/1999",NA,NA,"A/duck/Guangxi/07/1999","A / H5N1",NA,"","Asia / China / Guangxi Zhuang Autonomous Region","Duck","Unknown user","Other Database Import","","","","","7",1999,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AY585513","AY585492","AY585471","AY585363","AY585429","AY585408","AY585387","AY585450",NA,NA,"Guangxi","SW"
"1533","EPI_ISL_3892","EPI21356 | A/duck/Guangdong/01/2001","EPI21314 | A/duck/Guangdong/01/2001","EPI21272 | A/duck/Guangdong/01/2001","EPI21060 | A/duck/Guangdong/01/2001","EPI21188 | A/duck/Guangdong/01/2001","EPI21146 | A/duck/Guangdong/01/2001","EPI21104 | A/duck/Guangdong/01/2001","EPI21230 | A/duck/Guangdong/01/2001",NA,NA,"A/duck/Guangdong/01/2001","A / H5N1",NA,"","Asia / China / Guangdong Province","Duck","Unknown user","Other Database Import","","","","","1",2001,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AY585508","AY585487","AY585466","AY585360","AY585424","AY585403","AY585382","AY585445",NA,NA,"Guangdong","PRD"
"1534","EPI_ISL_3890","EPI21350 | A/duck/Fujian/13/2002","EPI21308 | A/duck/Fujian/13/2002","EPI21266 | A/duck/Fujian/13/2002","EPI21056 | A/duck/Fujian/13/2002","EPI21182 | A/duck/Fujian/13/2002","EPI21140 | A/duck/Fujian/13/2002","EPI21098 | A/duck/Fujian/13/2002","EPI21224 | A/duck/Fujian/13/2002",NA,NA,"A/duck/Fujian/13/2002","A / H5N1",NA,"","Asia / China / Fujian Province","Duck","Unknown user","Other Database Import","","","","","13",2002,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AY585505","AY585484","AY585463","AY585358","AY585421","AY585400","AY585379","AY585442",NA,NA,"Fujian","PRD"
"1538","EPI_ISL_138602","EPI439065 | A/domestic green-winged teal/Hunan/3450/2006","EPI439066 | A/domestic green-winged teal/Hunan/3450/2006","EPI439067 | A/domestic green-winged teal/Hunan/3450/2006","EPI439068 | A/domestic green-winged teal/Hunan/3450/2006","EPI439069 | A/domestic green-winged teal/Hunan/3450/2006","EPI439070 | A/domestic green-winged teal/Hunan/3450/2006","EPI439071 | A/domestic green-winged teal/Hunan/3450/2006","EPI439072 | A/domestic green-winged teal/Hunan/3450/2006",NA,NA,"A/domestic green-winged teal/Hunan/3450/2006","A / H5N1",NA,"E1","Asia / China / Hunan Province","Anas carolinensis","Initial import","Other Database Import","","Xiong,C.; Chen,J.","","","",2006.203,"passage details: E1",2013.229,2013.156,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"","","",NA,"",NA,NA,"","","","Domestic",NA,"KC690153","KC690154","KC690155","KC690156","KC690157","KC690158","KC690159","KC690160",NA,NA,"Hunan","CT"
"1571","EPI_ISL_29372","EPI175647 | A/duck/Hubei/Hangmei01/2006","EPI175648 | A/duck/Hubei/Hangmei01/2006","EPI175649 | A/duck/Hubei/Hangmei01/2006","EPI175650 | A/duck/Hubei/Hangmei01/2006","EPI175651 | A/duck/Hubei/Hangmei01/2006","EPI175652 | A/duck/Hubei/Hangmei01/2006","EPI175653 | A/duck/Hubei/Hangmei01/2006","EPI175654 | A/duck/Hubei/Hangmei01/2006",NA,NA,"A/duck/Hubei/Hangmei01/2006","A / H5N1",NA,"","Asia / China / Hubei Province","Anas sp.","Unknown user","Other Database Import","","","","","Hangmei01",2006,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"EU594346","EU594347","EU594348","EU594349","EU594350","EU594351","EU594352","EU594353",NA,NA,"Hubei","CT"
"1572","EPI_ISL_29185","EPI174668 | A/duck/Hubei/2911/2007","EPI174684 | A/duck/Hubei/2911/2007","EPI174700 | A/duck/Hubei/2911/2007","EPI174652 | A/duck/Hubei/2911/2007","EPI174716 | A/duck/Hubei/2911/2007","EPI174732 | A/duck/Hubei/2911/2007","EPI174620 | A/duck/Hubei/2911/2007","EPI174636 | A/duck/Hubei/2911/2007",NA,NA,"A/duck/Hubei/2911/2007","A / H5N1",NA,"","Asia / China / Hubei Province","Anas sp.","Unknown user","Other Database Import","","","","","2911",2007.077,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"FJ784836","FJ784820","FJ784804","FJ784852","FJ784788","FJ784772","FJ784884","FJ784868",NA,NA,"Hubei","CT"
"1573","EPI_ISL_29183","EPI174666 | A/duck/Hunan/1994/2007","EPI174682 | A/duck/Hunan/1994/2007","EPI174698 | A/duck/Hunan/1994/2007","EPI174650 | A/duck/Hunan/1994/2007","EPI174714 | A/duck/Hunan/1994/2007","EPI174730 | A/duck/Hunan/1994/2007","EPI174618 | A/duck/Hunan/1994/2007","EPI174634 | A/duck/Hunan/1994/2007",NA,NA,"A/duck/Hunan/1994/2007","A / H5N1",NA,"","Asia / China / Hunan Province","Anas sp.","Unknown user","Other Database Import","","","","","1994",2007.06,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"FJ784834","FJ784818","FJ784802","FJ784850","FJ784786","FJ784770","FJ784882","FJ784866",NA,NA,"Hunan","CT"
"1574","EPI_ISL_29182","EPI174665 | A/duck/Hunan/1964/2007","EPI174681 | A/duck/Hunan/1964/2007","EPI174697 | A/duck/Hunan/1964/2007","EPI174649 | A/duck/Hunan/1964/2007","EPI174713 | A/duck/Hunan/1964/2007","EPI174729 | A/duck/Hunan/1964/2007","EPI174617 | A/duck/Hunan/1964/2007","EPI174633 | A/duck/Hunan/1964/2007",NA,NA,"A/duck/Hunan/1964/2007","A / H5N1",NA,"","Asia / China / Hunan Province","Anas sp.","Unknown user","Other Database Import","","","","","1964",2007.06,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"FJ784833","FJ784817","FJ784801","FJ784849","FJ784785","FJ784769","FJ784881","FJ784865",NA,NA,"Hunan","CT"
"1575","EPI_ISL_29181","EPI174664 | A/duck/Hunan/1930/2007","EPI174680 | A/duck/Hunan/1930/2007","EPI174696 | A/duck/Hunan/1930/2007","EPI174648 | A/duck/Hunan/1930/2007","EPI174712 | A/duck/Hunan/1930/2007","EPI174728 | A/duck/Hunan/1930/2007","EPI174616 | A/duck/Hunan/1930/2007","EPI174632 | A/duck/Hunan/1930/2007",NA,NA,"A/duck/Hunan/1930/2007","A / H5N1",NA,"","Asia / China / Hunan Province","Anas sp.","Unknown user","Other Database Import","","","","","1930",2007.06,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"FJ784832","FJ784816","FJ784800","FJ784848","FJ784784","FJ784768","FJ784880","FJ784864",NA,NA,"Hunan","CT"
"1612","EPI_ISL_24621","EPI164362 | A/goose/Yunnan/5979/2006","EPI164363 | A/goose/Yunnan/5979/2006","EPI164364 | A/goose/Yunnan/5979/2006","EPI164365 | A/goose/Yunnan/5979/2006","EPI164366 | A/goose/Yunnan/5979/2006","EPI164367 | A/goose/Yunnan/5979/2006","EPI164368 | A/goose/Yunnan/5979/2006","EPI164369 | A/goose/Yunnan/5979/2006",NA,NA,"A/goose/Yunnan/5979/2006","A / H5N1",NA,"","Asia / China / Yunnan Province","Goose","Unknown user","Other Database Import","","","","","5979",2006,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"CY030966","CY030967","CY030968","CY030969","CY030970","CY030971","CY030972","CY030973",NA,NA,"Yunnan","SW"
"1613","EPI_ISL_24620","EPI164354 | A/goose/Yunnan/5769/2006","EPI164355 | A/goose/Yunnan/5769/2006","EPI164356 | A/goose/Yunnan/5769/2006","EPI164357 | A/goose/Yunnan/5769/2006","EPI164358 | A/goose/Yunnan/5769/2006","EPI164359 | A/goose/Yunnan/5769/2006","EPI164360 | A/goose/Yunnan/5769/2006","EPI164361 | A/goose/Yunnan/5769/2006",NA,NA,"A/goose/Yunnan/5769/2006","A / H5N1",NA,"","Asia / China / Yunnan Province","Goose","Unknown user","Other Database Import","","","","","5769",2006,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"CY030958","CY030959","CY030960","CY030961","CY030962","CY030963","CY030964","CY030965",NA,NA,"Yunnan","SW"
"1614","EPI_ISL_24616","EPI164322 | A/goose/Yunnan/4985/2006","EPI164323 | A/goose/Yunnan/4985/2006","EPI164324 | A/goose/Yunnan/4985/2006","EPI164325 | A/goose/Yunnan/4985/2006","EPI164326 | A/goose/Yunnan/4985/2006","EPI164327 | A/goose/Yunnan/4985/2006","EPI164328 | A/goose/Yunnan/4985/2006","EPI164329 | A/goose/Yunnan/4985/2006",NA,NA,"A/goose/Yunnan/4985/2006","A / H5N1",NA,"","Asia / China / Yunnan Province","Goose","Unknown user","Other Database Import","","","","","4985",2006,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"CY030926","CY030927","CY030928","CY030929","CY030930","CY030931","CY030932","CY030933",NA,NA,"Yunnan","SW"
"1615","EPI_ISL_24614","EPI164306 | A/goose/Yunnan/4371/2006","EPI164307 | A/goose/Yunnan/4371/2006","EPI164308 | A/goose/Yunnan/4371/2006","EPI164309 | A/goose/Yunnan/4371/2006","EPI164310 | A/goose/Yunnan/4371/2006","EPI164311 | A/goose/Yunnan/4371/2006","EPI164312 | A/goose/Yunnan/4371/2006","EPI164313 | A/goose/Yunnan/4371/2006",NA,NA,"A/goose/Yunnan/4371/2006","A / H5N1",NA,"","Asia / China / Yunnan Province","Goose","Unknown user","Other Database Import","","","","","4371",2006,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"CY030910","CY030911","CY030912","CY030913","CY030914","CY030915","CY030916","CY030917",NA,NA,"Yunnan","SW"
"1616","EPI_ISL_24613","EPI164298 | A/goose/Yunnan/3798/2006","EPI164299 | A/goose/Yunnan/3798/2006","EPI164300 | A/goose/Yunnan/3798/2006","EPI164301 | A/goose/Yunnan/3798/2006","EPI164302 | A/goose/Yunnan/3798/2006","EPI164303 | A/goose/Yunnan/3798/2006","EPI164304 | A/goose/Yunnan/3798/2006","EPI164305 | A/goose/Yunnan/3798/2006",NA,NA,"A/goose/Yunnan/3798/2006","A / H5N1",NA,"","Asia / China / Yunnan Province","Goose","Unknown user","Other Database Import","","","","","3798",2006,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"CY030902","CY030903","CY030904","CY030905","CY030906","CY030907","CY030908","CY030909",NA,NA,"Yunnan","SW"
"1619","EPI_ISL_27761","","","","EPI171554 | A/bar-headed_goose_/Qinghai/14/2008","","EPI171591 | A/bar-headed_goose_/Qinghai/14/2008","","",NA,NA,"A/bar-headed goose /Qinghai/14/2008","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","14",2008.456,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602868","","FJ602869","","",NA,NA,"Qinghai","NW"
"1620","EPI_ISL_27752","","","","EPI171545 | A/bar-headed_goose/Qinghai/7/2008","","EPI171584 | A/bar-headed_goose/Qinghai/7/2008","","",NA,NA,"A/bar-headed goose/Qinghai/7/2008","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","7",2008.53,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602822","","FJ602859","","",NA,NA,"Qinghai","NW"
"1621","EPI_ISL_27724","","","","EPI171517 | A/bar-headed_goose/Qinghai/1/2006","","EPI171555 | A/bar-headed_goose/Qinghai/1/2006","","",NA,NA,"A/bar-headed goose/Qinghai/1/2006","A / H5N1",NA,"","Asia / China / Qinghai Province","Anser indicus","Unknown user","Other Database Import","","","","","1",2006.367,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602794","","FJ602829","","",NA,NA,"Qinghai","NW"
"1624","EPI_ISL_27737","","","","EPI171530 | A/brown-headed_gull/Qinghai/4/2007","","EPI171568 | A/brown-headed_gull/Qinghai/4/2007","","",NA,NA,"A/brown-headed gull/Qinghai/4/2007","A / H5N1",NA,"","Asia / China / Qinghai Province","Larus brunnicephalus","Unknown user","Other Database Import","","","","","4",2007.372,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","FJ602807","","FJ602843","","",NA,NA,"Qinghai","NW"
"1635","EPI_ISL_4858","EPI26502 | A/swan/Guangxi/307/2004","EPI26489 | A/swan/Guangxi/307/2004","EPI26476 | A/swan/Guangxi/307/2004","EPI26393 | A/swan/Guangxi/307/2004","EPI26441 | A/swan/Guangxi/307/2004","EPI26427 | A/swan/Guangxi/307/2004","EPI26413 | A/swan/Guangxi/307/2004","EPI26461 | A/swan/Guangxi/307/2004",NA,NA,"A/swan/Guangxi/307/2004","A / H5N1",NA,"","Asia / China / Guangxi Zhuang Autonomous Region","Swan","Unknown user","Other Database Import","","","","","307",2004,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AY950285","AY950278","AY950271","AY950236","AY950257","AY950250","AY950243","AY950264",NA,NA,"Guangxi","SW"
"1677","EPI_ISL_4540","EPI82184 | A/tree_sparrow/Henan/2/2004","EPI82192 | A/tree_sparrow/Henan/2/2004","EPI82200 | A/tree_sparrow/Henan/2/2004","EPI25080 | A/tree_sparrow/Henan/2/2004","EPI82208 | A/tree_sparrow/Henan/2/2004","EPI25082 | A/tree_sparrow/Henan/2/2004","EPI82217 | A/tree_sparrow/Henan/2/2004","EPI82228 | A/tree_sparrow/Henan/2/2004",NA,NA,"A/tree sparrow/Henan/2/2004","A / H5N1",NA,"","Asia / China / Henan Province","Other avian","Unknown user","Other Database Import","","","","","2",2004,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"DQ073400","DQ073404","DQ073408","AY741217","DQ073412","AY741218","DQ073416","DQ073420",NA,NA,"Henan","CT"
"1694","EPI_ISL_4579","EPI25221 | A/swine/Fujian/1/2003","EPI25219 | A/swine/Fujian/1/2003","EPI25217 | A/swine/Fujian/1/2003","EPI25207 | A/swine/Fujian/1/2003","EPI25211 | A/swine/Fujian/1/2003","EPI25209 | A/swine/Fujian/1/2003","EPI25213 | A/swine/Fujian/1/2003","EPI25215 | A/swine/Fujian/1/2003",NA,NA,"A/swine/Fujian/1/2003","A / H5N1",NA,"","Asia / China / Fujian Province","Swine","Unknown user","Other Database Import","","","","","1",2003,"",NA,NA,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"AY747616","AY747615","AY747614","AY747609","AY747611","AY747610","AY747612","AY747613",NA,NA,"Fujian","PRD"
"1700","EPI_ISL_219776","EPI749462 | A/Environment/Hunan/18478/2014-PB2","EPI749463 | A/Environment/Hunan/18478/2014-PB1","EPI749461 | A/Environment/Hunan/18478/2014-PA","EPI749465 | A/Environment/Hunan/18478/2014-HA","EPI749458 | A/Environment/Hunan/18478/2014-NP","EPI749464 | A/Environment/Hunan/18478/2014-NA","EPI749460 | A/Environment/Hunan/18478/2014-MP","EPI749459 | A/Environment/Hunan/18478/2014-NS",NA,NA,"A/Environment/Hunan/18478/2014","A / H5N1",NA,"E2","Asia / China / Hunan","Environment","Lei Yang (WHO Chinese National Influenza Center / Virology Institute, Chinese CDC)","WHO Chinese National Influenza Center","","Wang,Dayan;Li,Xiaodan;Zou,Shumei;Zhang,Ye;Bo,Hong;Li,Xiyan;Chen,Wenbing;Yang,Lei;Shu,Yuelong","","","",2014.189,"",2016.354,2016.354,NA,NA,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Y","","",NA,"",NA,NA,"","","","",NA,"","","","","","","","",NA,NA,"Hunan","CT"
