Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
3710,Other,28.293,117.245,Asia,China,Jiangxi Sheng,Huangqiao,Exact,22/01/2004,05/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",8600,8600,8600,21955,,,,,
3704,Other,24.89333,102.79667,Asia,China,Yunnan Sheng,Chenggong,Unknown,20/01/2004,02/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken",78000,78000,4820,145197,,,,,
3698,Other,36.22722,103.80083,Asia,China,Gansu Sheng,Zhonghe,Unknown,30/01/2004,08/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",1200,400,200,2390,,,,,
3688,Other,25.015,102.744,Asia,China,Yunnan Sheng,Guandu,Exact,01/02/2004,05/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird, domestic, chicken, domestic, quail",1598,1598,48206,2427994,,,,,
3660,Other,33.27,115.353,Asia,China,Anhui Sheng,Jieshou,Exact,28/01/2004,04/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,2700,2700,147953,,,,,
3656,Other,31.85667,112.15944,Asia,China,Hubei Sheng,Oumiao,Unknown,23/01/2004,03/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",4200,2000,22,122775,,,,,
3652,Other,32.9,115.81667,Asia,China,Anhui Sheng,Fuyang,Unknown,26/01/2004,04/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",372,11,11,,,,,,
3650,Other,29.256,113.277,Asia,China,Hunan Sheng,Wujiang,Exact,23/01/2004,04/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken, domestic, chicken",,2400,2380,6020,,,,,
3634,Other,34.15861,108.93583,Asia,China,Shaanxi Sheng,Weiqu,Unknown,30/01/2004,04/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",5425,1919,1919,80144,,,,,
3610,Other,43.8,87.58333,Asia,China,Xinjiang Uygur Zizhiqu,Urumqi,Unknown,23/01/2004,02/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",6400,4508,4508,2342,,,,,
3608,Other,28.889,120.047,Asia,China,Zhejiang Sheng,Yong kang,Exact,20/01/2004,02/02/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",850,550,550,67789,,,,,
3598,Media,31.22222,121.45806,Asia,China,Shanghai Shi,Shanghai,Unknown,30/01/2004,30/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",,300,300,365000,,,,,
3594,Other,30.89306,119.41361,Asia,China,Anhui Sheng,Guangde,Unknown,30/01/2004,30/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken",,,3700,35609,,,,,
3590,Other,23.672,116.646,Asia,China,Guangdong Sheng,Gugang,Exact,24/01/2004,31/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken, domestic, goose",180,,80,7610,,,,,
3586,Other,30.4,114.83333,Asia,China,Hubei Sheng,Ezhou,Unknown,25/01/2004,31/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, goose",564,200,200,,,,,,
3574,Media,23.166,107.696,Asia,China,Guangxi Zhuangzu Zizhiqu,Longan,Exact,20/01/2004,26/01/2004,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, duck, domestic, chicken, domestic, chicken",,,280,14000,,,,,
